Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Alcides,11/2/22 0:01,0:00:10,Autoplayed: user action: None; ,War_hook_primary_16x9,HOOK,LG 2017 LG M16p Standard UHD TV Smart TV,0:00:10,0:00:10,PE (Peru)
Alcides,11/1/22 23:50,0:00:48,,Asesino solitario,,LG 2017 LG M16p Standard UHD TV Smart TV,0:00:48,0:00:48,PE (Peru)
Alcides,11/1/22 23:47,0:00:40,,War_hook_primary_16x9,HOOK,LG 2017 LG M16p Standard UHD TV Smart TV,0:00:40,Not latest view,PE (Peru)
Alcides,11/1/22 23:45,0:01:28,,Tráiler: Sin novedad en el frente,TRAILER,LG 2017 LG M16p Standard UHD TV Smart TV,0:01:28,0:01:28,PE (Peru)
Alcides,11/1/22 23:44,0:00:49,,War_hook_primary_16x9,HOOK,LG 2017 LG M16p Standard UHD TV Smart TV,0:00:49,Not latest view,PE (Peru)
Alcides,11/1/22 23:43,0:01:29,Autoplayed: user action: None; ,Tráiler: La toma del poder,TRAILER,LG 2017 LG M16p Standard UHD TV Smart TV,0:01:29,0:01:29,PE (Peru)
Alcides,11/1/22 22:58,0:43:11,,Planeta furioso: Temporada 1: Huracán (Capítulo 4),,LG 2017 LG M16p Standard UHD TV Smart TV,0:43:16,0:43:16,PE (Peru)
Alcides,11/1/22 22:09,0:48:56,,Planeta furioso: Temporada 1: Terremoto (Capítulo 3),,LG 2017 LG M16p Standard UHD TV Smart TV,0:49:01,0:49:01,PE (Peru)
Alcides,11/1/22 21:27,0:41:55,,Planeta furioso: Temporada 1: Volcán (Capítulo 2),,LG 2017 LG M16p Standard UHD TV Smart TV,0:42:01,0:42:01,PE (Peru)
Alcides,11/1/22 20:41,0:46:14,,Planeta furioso: Temporada 1: Tornado (Capítulo 1),,LG 2017 LG M16p Standard UHD TV Smart TV,0:46:14,0:46:14,PE (Peru)
Alcides,11/1/22 20:40,0:00:50,Autoplayed: user action: None; ,Temporada 1 (Clip 2): Planeta furioso,HOOK,LG 2017 LG M16p Standard UHD TV Smart TV,0:00:50,0:00:50,PE (Peru)
Alcides,11/1/22 20:40,0:00:08,Autoplayed: user action: None; ,Temporada 1 (Clip): Yo acoso,HOOK,LG 2017 LG M16p Standard UHD TV Smart TV,0:00:08,0:00:08,PE (Peru)
Alcides,11/1/22 20:40,0:00:05,Autoplayed: user action: None; ,Temporada 1 (Clip 2): Planeta furioso,HOOK,LG 2017 LG M16p Standard UHD TV Smart TV,0:00:05,Not latest view,PE (Peru)
Alcides,11/1/22 20:39,0:00:04,Autoplayed: user action: None; ,El abismo del infierno (Clip): El abismo del infierno,HOOK,LG 2017 LG M16p Standard UHD TV Smart TV,0:00:04,0:00:04,PE (Peru)
Alcides,11/1/22 20:39,0:00:04,Autoplayed: user action: None; ,Temporada 1 (Clip 2): Planeta furioso,HOOK,LG 2017 LG M16p Standard UHD TV Smart TV,0:00:04,Not latest view,PE (Peru)
Alcides,11/1/22 20:38,0:00:27,Autoplayed: user action: None; ,Bonita (Clip): Bonita,HOOK,LG 2017 LG M16p Standard UHD TV Smart TV,0:00:27,0:00:27,PE (Peru)
Alcides,11/1/22 20:37,0:00:42,Autoplayed: user action: None; ,Temporada 1 (Clip 2): Hasta que la plata nos separe,HOOK,LG 2017 LG M16p Standard UHD TV Smart TV,0:00:42,0:00:42,PE (Peru)
Alcides,11/1/22 20:37,0:00:05,Autoplayed: user action: None; ,Temporada 1 (Clip 3): High: Confesiones de una mula en Ibiza,HOOK,LG 2017 LG M16p Standard UHD TV Smart TV,0:00:05,0:00:05,PE (Peru)
Alcides,11/1/22 20:36,0:00:09,Autoplayed: user action: None; ,Temporada 1 (Clip): Mi otra yo,HOOK,LG 2017 LG M16p Standard UHD TV Smart TV,0:00:09,0:00:09,PE (Peru)
Alcides,11/1/22 20:35,0:00:31,Autoplayed: user action: None; ,Temporada 1 (Clip 2): Réplicas: El terremoto en el Everest y Nepal,HOOK,LG 2017 LG M16p Standard UHD TV Smart TV,0:00:31,0:00:31,PE (Peru)
Alcides,11/1/22 20:35,0:00:43,Autoplayed: user action: None; ,Temporada 1 (Clip 2): Planeta furioso,HOOK,LG 2017 LG M16p Standard UHD TV Smart TV,0:00:43,Not latest view,PE (Peru)
Alcides,11/1/22 20:33,0:00:04,Autoplayed: user action: None; ,Más allá del universo (Clip): Más allá del universo,HOOK,LG 2017 LG M16p Standard UHD TV Smart TV,0:00:04,0:00:04,PE (Peru)
Alcides,10/31/22 1:46,0:02:07,,Terror a 47 metros: El segundo ataque,,LG 2017 LG M16p Standard UHD TV Smart TV,0:02:07,0:02:07,PE (Peru)
Alcides,10/31/22 1:42,0:02:16,,Tráiler: Sin novedad en el frente,TRAILER,LG 2017 LG M16p Standard UHD TV Smart TV,0:02:16,Not latest view,PE (Peru)
Alcides,10/31/22 1:41,0:00:54,,El abismo del infierno (Clip): El abismo del infierno,HOOK,LG 2017 LG M16p Standard UHD TV Smart TV,0:00:54,0:00:54,PE (Peru)
Alcides,10/31/22 1:40,0:01:25,Autoplayed: user action: None; ,Tráiler: Más allá del universo,TRAILER,LG 2017 LG M16p Standard UHD TV Smart TV,0:01:25,0:01:25,PE (Peru)
Alcides,10/31/22 0:18,1:22:14,Autoplayed: user action: User_Interaction; ,Terror a 47 metros: El segundo ataque,,LG 2017 LG M16p Standard UHD TV Smart TV,1:22:14,Not latest view,PE (Peru)
Alcides,10/31/22 0:16,0:00:04,Autoplayed: user action: None; ,Marea alta_hook_primary_16x9,HOOK,LG 2017 LG M16p Standard UHD TV Smart TV,0:00:04,0:00:04,PE (Peru)
Alcides,10/31/22 0:15,0:00:13,Autoplayed: user action: None; ,Sin aliento (Clip): Sin aliento,HOOK,LG 2017 LG M16p Standard UHD TV Smart TV,0:00:13,0:00:13,PE (Peru)
Alcides,10/30/22 4:30,0:00:14,Autoplayed: user action: None; ,Tráiler: Sin novedad en el frente,TRAILER,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:14,Not latest view,PE (Peru)
